ISO_TIME,NATURE,LAT,LON,WMO_WIND,WMO_PRES
 , ,degrees_north,degrees_east,kts,mb
6/13/2023 6:00,Extratropical,34.6,146.5, ,992
6/13/2023 9:00,Extratropical,35.1,147.7, , 
6/13/2023 12:00,Extratropical,35.9,149.1, ,996
6/13/2023 15:00,Extratropical,36.9,150.7, , 
6/13/2023 18:00,Extratropical,37.9,152.5, ,996
6/13/2023 21:00,Extratropical,38.4,153.9, , 
6/14/2023 0:00,Extratropical,38.7,155.3, ,996
6/14/2023 3:00,Extratropical,39,156.7, , 
6/14/2023 6:00,Extratropical,39.3,158.3, ,996
6/14/2023 9:00,Extratropical,39.4,160, , 
6/14/2023 12:00,Extratropical,39.4,162, ,996
6/14/2023 15:00,Extratropical,39.3,164.1, , 
6/14/2023 18:00,Extratropical,39.2,166.2, ,998
6/14/2023 21:00,Extratropical,38.9,168, , 
6/15/2023 0:00,Extratropical,38.7,169.6, ,998
6/15/2023 3:00,Extratropical,38.7,170.5, , 
6/15/2023 6:00,Extratropical,38.9,171.1, ,996
6/15/2023 9:00,Extratropical,38.9,171.9, , 
6/15/2023 12:00,Extratropical,39,172.7, ,994
6/15/2023 15:00,Extratropical,39.1,173.5, , 
6/15/2023 18:00,Extratropical,39.3,174.4, ,990
6/15/2023 21:00,Extratropical,39.2,175.3, , 
6/16/2023 0:00,Extratropical,39.2,176.3, ,986
6/16/2023 3:00,Extratropical,39.3,177.2, , 
6/16/2023 6:00,Extratropical,39.5,178.1, ,984
6/16/2023 9:00,Extratropical,39.6,178.8, , 
6/16/2023 12:00,Extratropical,39.6,179.5, ,984
6/16/2023 15:00,Extratropical,39.7,180.1, , 
6/16/2023 18:00,Extratropical,39.9,180.6, , 
6/16/2023 21:00,Extratropical,40.1,180.8, , 
6/17/2023 0:00,Extratropical,40.2,181.3, , 
6/17/2023 3:00,Extratropical,40.3,182.2, , 
6/17/2023 6:00,Extratropical,40.4,183.3, , 
7/13/2023 6:00,Tropical,15.8,122.8, ,1002
7/13/2023 9:00,Tropical,16.1,122.7, , 
7/13/2023 12:00,Tropical,16.3,122.6, ,1002
7/13/2023 15:00,Tropical,16.6,122.4, , 
7/13/2023 18:00,Tropical,16.9,122.2, ,1000
7/13/2023 21:00,Tropical,17.5,121.9, , 
7/14/2023 0:00,Mixture(contradicting report from different agencies),17.9,121.3, ,1000
7/14/2023 3:00,Mixture(contradicting report from different agencies),17.9,120.5, , 
7/14/2023 6:00,Tropical,17.7,119.8, ,1000
7/14/2023 9:00,Tropical,17.5,119.3, , 
7/14/2023 12:00,Tropical,17.4,119, ,998
7/14/2023 15:00,Tropical,17.5,118.8, , 
7/14/2023 18:00,Tropical,17.6,118.6, ,996
7/14/2023 21:00,Tropical,17.7,118.4, , 
7/15/2023 0:00,Tropical,17.8,118.3, ,996
7/15/2023 3:00,Tropical,18,118.2, , 
7/15/2023 6:00,Tropical,18.1,117.9,35,992
7/15/2023 9:00,Tropical,18.2,117.6, , 
7/15/2023 12:00,Tropical,18.4,117.3,40,990
7/15/2023 15:00,Tropical,18.5,117, , 
7/15/2023 18:00,Tropical,18.7,116.8,45,985
7/15/2023 21:00,Tropical,18.8,116.5, , 
7/16/2023 0:00,Tropical,18.9,116.2,50,980
7/16/2023 3:00,Tropical,19.1,115.8, , 
7/16/2023 6:00,Tropical,19.2,115.5,50,980
7/16/2023 9:00,Tropical,19.4,115.1, , 
7/16/2023 12:00,Tropical,19.6,114.6,50,980
7/16/2023 13:00,Tropical,19.6,114.4, , 
7/16/2023 14:00,Tropical,19.6,114.3, , 
7/16/2023 15:00,Tropical,19.7,114.2, , 
7/16/2023 16:00,Tropical,19.7,114, , 
7/16/2023 17:00,Tropical,19.7,113.9, , 
7/16/2023 18:00,Tropical,19.8,113.8,55,975
7/16/2023 19:00,Tropical,19.8,113.7, , 
7/16/2023 20:00,Tropical,19.9,113.6, , 
7/16/2023 21:00,Tropical,19.9,113.5, , 
7/16/2023 22:00,Tropical,20,113.4, , 
7/16/2023 23:00,Tropical,20.1,113.3, , 
7/17/2023 0:00,Tropical,20.1,113.1,60,970
7/17/2023 1:00,Tropical,20.2,113, , 
7/17/2023 2:00,Tropical,20.3,112.8, , 
7/17/2023 3:00,Tropical,20.4,112.6, , 
7/17/2023 4:00,Tropical,20.5,112.5, , 
7/17/2023 5:00,Tropical,20.6,112.3, , 
7/17/2023 6:00,Tropical,20.7,112.1,60,970
7/17/2023 7:00,Tropical,20.8,111.9, , 
7/17/2023 8:00,Tropical,20.9,111.7, , 
7/17/2023 9:00,Tropical,21,111.5, , 
7/17/2023 10:00,Tropical,21.1,111.3, , 
7/17/2023 11:00,Tropical,21.1,111.1, , 
7/17/2023 12:00,Tropical,21.2,110.9,60,970
7/17/2023 15:00,Tropical,21.2,110.3, , 
7/17/2023 18:00,Tropical,21.3,109.7,55,975
7/17/2023 21:00,Tropical,21.5,109.3, , 
7/18/2023 0:00,Tropical,21.7,108.9,50,980
7/18/2023 3:00,Tropical,22.1,108.2, , 
7/18/2023 6:00,Tropical,22.4,107.6,45,985
7/18/2023 9:00,Tropical,22.3,107, , 
7/18/2023 12:00,Tropical,22.3,106.5, ,996
7/18/2023 15:00,Tropical,22.3,106.1, , 
7/18/2023 18:00,Tropical,22.4,105.7, ,1000
7/18/2023 21:00,Tropical,22.6,105.1, , 
7/19/2023 0:00,Tropical,22.8,104.4, , 
7/19/2023 3:00,Tropical,23.1,103.8, , 
7/19/2023 6:00,Disturbance,23.4,103.3, , 
7/20/2023 6:00,Tropical,12.7,133.7, ,1004
7/20/2023 9:00,Tropical,12.9,133.7, , 
7/20/2023 12:00,Tropical,13.1,133.5, ,1006
7/20/2023 15:00,Tropical,13.4,133.4, , 
7/20/2023 18:00,Tropical,13.6,133.2, ,1004
7/20/2023 21:00,Tropical,13.7,133, , 
7/21/2023 0:00,Mixture(contradicting report from different agencies),13.8,132.8,35,1002
7/21/2023 3:00,Mixture(contradicting report from different agencies),13.9,132.6, , 
7/21/2023 6:00,Mixture(contradicting report from different agencies),14,132.5,35,1002
7/21/2023 9:00,Mixture(contradicting report from different agencies),14.1,132.4, , 
7/21/2023 12:00,Mixture(contradicting report from different agencies),14.2,132.2,35,1002
7/21/2023 15:00,Mixture(contradicting report from different agencies),14.2,132, , 
7/21/2023 18:00,Tropical,14.2,131.8,35,1002
7/21/2023 21:00,Tropical,14.3,131.6, , 
7/22/2023 0:00,Tropical,14.3,131.3,40,998
7/22/2023 3:00,Tropical,14.4,131.1, , 
7/22/2023 6:00,Tropical,14.4,130.8,40,998
7/22/2023 9:00,Tropical,14.4,130.5, , 
7/22/2023 12:00,Tropical,14.4,130.3,45,994
7/22/2023 15:00,Tropical,14.5,130, , 
7/22/2023 18:00,Tropical,14.6,129.7,50,990
7/22/2023 21:00,Tropical,14.7,129.3, , 
7/23/2023 0:00,Tropical,14.8,129,55,985
7/23/2023 3:00,Tropical,14.8,128.6, , 
7/23/2023 6:00,Tropical,14.9,128.3,60,980
7/23/2023 9:00,Tropical,15,128, , 
7/23/2023 12:00,Tropical,15,127.7,60,980
7/23/2023 15:00,Tropical,15.1,127.4, , 
7/23/2023 18:00,Tropical,15.1,127,70,970
7/23/2023 21:00,Tropical,15.2,126.8, , 
7/24/2023 0:00,Tropical,15.3,126.6,75,965
7/24/2023 3:00,Tropical,15.4,126.5, , 
7/24/2023 6:00,Tropical,15.7,126.3,85,950
7/24/2023 9:00,Tropical,16.1,126.1, , 
7/24/2023 12:00,Tropical,16.5,125.8,90,940
7/24/2023 15:00,Tropical,16.7,125.4, , 
7/24/2023 18:00,Tropical,16.9,125.1,100,925
7/24/2023 21:00,Tropical,17.3,124.9, , 
7/25/2023 0:00,Tropical,17.6,124.6,100,925
7/25/2023 3:00,Tropical,18,124.2, , 
7/25/2023 6:00,Tropical,18.3,123.7,100,925
7/25/2023 9:00,Tropical,18.6,123.3, , 
7/25/2023 12:00,Tropical,18.9,122.7,100,925
7/25/2023 15:00,Tropical,19,122.1, , 
7/25/2023 18:00,Tropical,19,121.6,100,925
7/25/2023 21:00,Tropical,18.9,121.4, , 
7/26/2023 0:00,Tropical,18.9,121.4,90,940
7/26/2023 3:00,Tropical,19.1,121.2, , 
7/26/2023 6:00,Tropical,19.3,121,85,950
7/26/2023 9:00,Tropical,19.4,120.8, , 
7/26/2023 12:00,Tropical,19.6,120.6,80,955
7/26/2023 15:00,Tropical,19.8,120.3, , 
7/26/2023 18:00,Tropical,20,120,80,955
7/26/2023 21:00,Tropical,20.4,119.9, , 
7/27/2023 0:00,Tropical,20.7,119.7,75,955
7/27/2023 3:00,Tropical,20.9,119.4, , 
7/27/2023 6:00,Tropical,21.1,119.3,75,955
7/27/2023 9:00,Tropical,21.4,119.2, , 
7/27/2023 12:00,Tropical,21.8,119.1,80,955
7/27/2023 15:00,Tropical,22.2,119.1, , 
7/27/2023 18:00,Tropical,22.8,119,80,955
7/27/2023 21:00,Tropical,23.5,118.9, , 
7/28/2023 0:00,Tropical,24.2,118.8,70,965
7/28/2023 3:00,Tropical,24.9,118.6, , 
7/28/2023 6:00,Tropical,25.5,118.3,50,985
7/28/2023 9:00,Tropical,26.3,118.1, , 
7/28/2023 12:00,Tropical,27.1,117.7,40,994
7/28/2023 15:00,Tropical,28,117.4, , 
7/28/2023 18:00,Tropical,28.7,117.1,35,996
7/28/2023 21:00,Tropical,29.6,116.5, , 
7/29/2023 0:00,Mixture(contradicting report from different agencies),30.3,115.8, ,998
7/29/2023 3:00,Mixture(contradicting report from different agencies),31.2,115.1, , 
7/29/2023 6:00,Mixture(contradicting report from different agencies),31.9,114.9, ,998
7/29/2023 9:00,Mixture(contradicting report from different agencies),32.4,114.5, , 
7/29/2023 12:00,Mixture(contradicting report from different agencies),33,114.5, ,998
7/29/2023 15:00,Mixture(contradicting report from different agencies),33.4,114.4, , 
7/29/2023 18:00,Mixture(contradicting report from different agencies),34,114.3, ,998
7/29/2023 21:00,Mixture(contradicting report from different agencies),34.8,114.2, , 
7/30/2023 0:00,Mixture(contradicting report from different agencies),35.5,113.8, ,1000
7/30/2023 3:00,Mixture(contradicting report from different agencies),35.8,113.6, , 
7/30/2023 6:00,Mixture(contradicting report from different agencies),36,113.5, ,1000
