fault_latitude,fault_longitude,earthquake_count,average_magnitude,avg_time_between_eq_days
35.41775268,137.40264123345003,5,4.72,263.75890787615737
35.40768332,137.4488821,2,4.8,137.00641207175926
35.372267276100004,137.35832716085,3,4.7,68.50320603587963
35.279592417450004,137.84230668765,2,4.65,1460.9692324537036
35.31196047,137.71233271609998,1,4.5,
35.24143436,137.16502564955,7,4.728571428571428,243.49862762731482
35.12426501,137.09069591525,10,4.719999999999999,148.67233739969137
34.97964711,136.97456418995,7,4.714285714285714,223.0066541435185
34.852664472149996,137.117715,3,4.633333333333333,669.0199624305554
34.77462802,137.18172531495,4,4.574999999999999,446.01522032407416
36.9775915,136.87461779615,9,4.655555555555555,91.75148287037037
36.93707021,136.87382795265,11,4.672727272727273,73.40144472222222
36.75035043,136.7546619,3,4.566666666666666,0.006441186342592591
36.69144165,136.8881003,2,4.55,0.012330891203703703
36.57662568,136.8565016,2,4.55,0.012330891203703703
36.541876418499996,136.6856606,3,4.566666666666666,0.011581857638888887
36.56006471,136.95973908215,3,4.566666666666666,0.006165445601851852
36.42041588,136.93960727220002,3,4.833333333333333,367.02049732060186
36.221954829058646,136.284611724884,2,4.699999999999999,0.02029449074074074
36.15470222084156,136.21422334264201,2,4.699999999999999,0.02029449074074074
36.05115166,136.112617,1,4.8,
35.961103740300004,136.09906697165002,1,4.8,
35.846043988299996,136.8935976,2,4.95,734.0295293055556
35.84763765,136.90694589654998,2,4.95,734.0295293055556
35.91529117,136.51421744655,2,5.1,734.0319361805556
35.8361567,136.44956308405,3,5.033333333333333,367.0159680902778
35.73727394,136.60690186835,1,4.8,
35.63123662,136.62796842494998,5,4.779999999999999,183.50976583043982
35.69152402,136.5996942,1,4.8,
35.58621066,136.68335720635,2,4.699999999999999,192.96716334490742
35.52316945,136.7878004,6,4.75,180.34075071064814
35.47162726,136.8046708,5,4.680000000000001,225.4259383883102
35.592383520300004,136.7269217,5,4.7,48.24270706597222
35.53482766,136.6056379,3,4.766666666666667,367.01769920138895
35.43162525,136.5550331,4,4.75,300.56669621141975
35.35689738,136.47517880430001,3,4.766666666666667,367.01769920138895
35.154422656899996,136.5643798,6,4.783333333333334,180.34022004398145
34.91056934,136.57980008714998,5,4.74,225.4237286226852
35.11077744,136.6170402,5,4.720000000000001,225.4250221585648
34.775402688507754,136.5615833651415,6,4.8500000000000005,165.01356913657406
34.618116771299995,136.48416814504998,7,4.871428571428572,150.28401953510803
35.7830191,136.31722320695002,2,4.85,734.0151089467593
35.747170325599996,136.32113467515,2,4.85,734.0151089467593
35.709964283299996,136.4721462,2,4.85,734.0151089467593
35.9317097528657,136.060070845549,4,4.800000000000001,244.67907045138892
35.6860635600477,136.159297382974,2,4.85,734.0151089467593
35.528915116549996,136.22585500425,2,4.85,734.0151089467593
35.46303685232765,136.318300282687,1,4.9,
35.39397119,136.37417332665,1,4.9,
36.18102045609195,135.97935639410503,0,,
35.6408384,136.2319304,2,4.85,734.0151089467593
35.57011212,136.1318318,4,4.699999999999999,244.67907045138892
35.636435324100006,136.0833587,4,4.699999999999999,244.67907045138892
35.537872082549995,136.0173801,4,4.75,244.67907045138892
35.55139396,136.0768518,3,4.666666666666667,367.01860567708337
35.52151316,136.08813940584997,3,4.666666666666667,367.01860567708337
35.70650857723635,135.921912958749,6,4.733333333333333,201.40271192592596
35.8504404243604,135.825743467294,2,4.699999999999999,1006.9945974421296
35.41145988,136.0287716,3,4.666666666666667,367.01860567708337
35.13689647,135.99132355255,6,4.933333333333334,291.6699778634259
35.136876216450005,136.91615322155002,10,4.719999999999999,148.67233739969137
34.96311548,136.9108511,6,4.6499999999999995,267.60798497222225
34.79908109,136.8985663,10,4.76,148.6717401080247
35.1392284,136.56348539015,5,4.720000000000001,225.4250221585648
35.201823308499996,136.52464104445,5,4.720000000000001,225.4250221585648
35.28258159,136.4627991,3,4.733333333333333,96.48358167245371
35.145253455049996,136.4702613,5,4.800000000000001,225.42527505497685
35.000535783749996,136.441666,2,4.9,901.6871645370371
34.91377769,136.65085379484998,4,4.725,300.56281019675924
35.262321681100005,136.34994217045,1,4.9,
35.136792849900004,136.3004355,0,,
34.9932357,136.34053904715,1,5.1,
34.79345638,136.40095578295,4,4.949999999999999,300.56803907021606
34.66917829,136.454615,6,4.883333333333333,180.34082344212965
34.7730233,136.46737922665,5,4.880000000000001,225.42398151909723
34.75831268,136.39221378485001,3,5.066666666666666,450.84681149884267
34.933991169799995,136.24460202095,1,5.1,
34.793685545900004,136.2401973,1,5.1,
34.79793961,136.05133915655,3,4.7,579.8978598726851
34.82100161,136.16275511745,2,4.8,1159.7957197453704
34.8770874,136.77752007995,7,4.771428571428571,150.2824857484568
34.728771574099994,136.89490216405,10,4.76,148.6717401080247
34.76591367831915,136.7103723567165,7,4.757142857142858,137.5118848533951
35.55908805,135.9510737,3,4.7,220.9676189351852
35.572381790099996,135.98312884785,3,4.7,220.9676189351852
35.568869264152355,135.9023978853555,3,4.7,220.9676189351852
35.45085895,135.88597477525002,4,4.675,147.31174595679013
35.30939898,135.8981017016995,4,4.75,244.64007898148148
35.059662588500004,135.81269497605,3,5,370.6730703877315
35.39134522,135.96703223765002,4,4.75,244.67907045138892
35.63027165,135.22520701784998,2,4.55,449.01444155092594
35.56027418,135.1368173,3,4.833333333333333,366.95250864583335
