"number of behavioral segment","name of behavioral segment",trend,dip,length[km],"fault type","upthrown side","slip rate[m/ky]","slip per event[m]","recurrence interval[ky]","age of the last faulting, field data","age of the last faulting, historical record","elapsed time rate","rupture probability[%] BPT","rupture probability[%] Poisson","Behavioral Segment Outline",Locality,Displacement,Event,"note of behavioral segment","note of slip rate","note of slip per event","note of recurrence interval","note of age of last faulting","endpoint latitude(north)","endpoint longitude(north)","endpoint latitude(south)","endpoint longitude(south) "
027-01,Shizukuishibonchi-seien,10Åã,"45 Åã W",13,Rev.,W,"   0.6","   1.5","   2.7","AD -826 to 1345",,"   0.41",0.8,1,GO,GO,GO,GO,GO,1,"estimate based on vertical displacement of dated terrace  surfaces (Miyauchi et al,1988)","estimate based on vertical displacement of dated terrace  surfaces (Miyauchi et al,1988)","N-S trending west-dipping reverse fault along the western margin of the Shizukuishi Basin in northern Honshu","estimate based on vertical displacement of dated terrace  surfaces (Miyauchi et al,1988)","calculated based on empirical relationship between segment length and slip per event proposed by Awata (1999)",39.8053619872,140.9521904641,39.7035633801,140.9253384192
028-01,Tazawako-toho,0Åã,"45 Åã E",10,Rev.,E,"   0.3","   1.2","   4.0",,,,,0.8,GO,GO,GO,GO,GO,1,"tentative estimate based on a qualitative assessment of its geomorphic expression","tentative estimate based on a qualitative assessment of its geomorphic expression","N-S trending east-dipping reverse fault along the eastern shore of Lake Tazawa in northern Honshu, partly ruptured during 1896 Rikuu earthquake","tentative estimate based on a qualitative assessment of its geomorphic expression","calculated based on empirical relationship between segment length and slip per event proposed by Awata (1999)",39.6668403386,140.7138590655,39.7569949144,140.7358951301
029-01,Senya,10Åã,"30 Åã E",25,Rev.,E,"   0.8","   2.9","   3.7","AD 1498or more","AD 1896","   0.04",0,0.8,GO,GO,GO,GO,GO,1,"estimate based on vertical displacement of dated terrace  surfaces and sediments (Matsuda et al,1980)","estimate based on vertical displacement of dated terrace  surfaces and sediments (Matsuda et al,1980)","N-S trending east-dipping reverse fault along the eastern margin of the Yokote Basin in northern Honshu, ruptured during the 1896 Rikuu earthquake","estimate based on vertical displacement of dated terrace  surfaces and sediments (Matsuda et al,1980)","calculated from the slip rate and the recurrence interval",39.4076277741,140.5891883629,39.6289470937,140.6346249243
029-02,Kanazawa,0Åã,"45 Åã E",16,Rev.,E,"   0.3","   2.0","   6.6",,,,,0.5,GO,GO,GO,GO,GO,1,"estimate based on vertical displacement of dated terrace  surfaces and sediments (Akitaken,1998)","estimate based on vertical displacement of dated terrace  surfaces and sediments (Akitaken,1998)","N-S trending east-dipping reverse fault along the eastern margin of the Yokote Basin in northern Honshu","estimate based on vertical displacement of dated terrace  surfaces and sediments (Akitaken,1998)","calculated based on empirical relationship between segment length and slip per event proposed by Awata (1999)",39.2587978774,140.5703505858,39.4076277741,140.5891883629
029-03,Omoriyama,350Åã,"45 Åã E",24,Rev.,E,"   0.2","   2.9","  17.0",,,,,0.2,GO,GO,GO,GO,GO,1,"tentative estimate based on a qualitative assessment of its geomorphic expression","tentative estimate based on a qualitative assessment of its geomorphic expression","N-S trending east-dipping reverse fault along the eastern margin of the Yokote Basin in northern Honshu","tentative estimate based on a qualitative assessment of its geomorphic expression","out of current evaluation project because of its low activity",39.1185176017,140.5880145572,39.33517157,140.5198749502
030-01,Kawafune,20Åã,"45 Åã W",20,Rev.,W,"   0.1","   2.2","  22.0",,"AD 1896","   0.01",0,0.1,GO,GO,GO,GO,GO,1,"tentative estimate based on a qualitative assessment of its geomorphic expression","tentative estimate based on a qualitative assessment of its geomorphic expression","NNE-SSW trending west-dipping reverse fault along the eastern margin of the Mahiru Mountains in northern Honshu, ruptured during the 1896 Rikuu earthquake","tentative estimate based on a qualitative assessment of its geomorphic expression","average of the net displacement of the surface fault associated with 1896 Rikuu earthquake (Matsuda et al,1980)",39.592612308,140.8234418517,39.4290386515,140.7259268841
030-02,Warikurayama,0Åã,"45 Åã W",21,Rev.,W,"   0.0","   2.5",,,,,,,GO,GO,GO,GO,GO,0,"tentative estimate based on a qualitative assessment of its geomorphic expression","tentative estimate based on a qualitative assessment of its geomorphic expression","N-S trending west-dipping reverse fault along the eastern margin of the Mahiru Mountains in northern Honshu","tentative estimate based on a qualitative assessment of its geomorphic expression","out of current evaluation project because of its low activity",39.2550298191,140.6184720996,39.4290386515,140.7259268841
031-01,Kitaguchi,20Åã,"45 Åã W",20,Rev.,W,"   0.0","   2.4",,,,,,,GO,GO,GO,GO,GO,0,"tentative estimate based on a qualitative assessment of its geomorphic expression","tentative estimate based on a qualitative assessment of its geomorphic expression","NNE-SSW trending west-dipping reverse fault in northern Honshu","tentative estimate based on a qualitative assessment of its geomorphic expression","out of current evaluation project because of its low activity",39.8302202762,140.1582595181,40.004532415,140.2292856048
032-01,Nakacho,20Åã,"45 Åã W",10,Rev.,W,"   0.1","   1.2",,,,,,,GO,GO,GO,GO,GO,0,"tentative estimate based on a qualitative assessment of its geomorphic expression","tentative estimate based on a qualitative assessment of its geomorphic expression","NNE-SSW trending west-dipping reverse fault in northern Honshu","tentative estimate based on a qualitative assessment of its geomorphic expression","out of current evaluation project because of its short length",39.4672307783,140.163487922,39.551345242,140.2079322167
032-02,Toridame,0Åã,"45 Åã E",12,Rev.,E,"   0.0","   1.5",,,,,,,GO,GO,GO,GO,GO,0,"tentative estimate based on a qualitative assessment of its geomorphic expression","tentative estimate based on a qualitative assessment of its geomorphic expression","N-S trending east-dipping reverse fault in northern Honshu","tentative estimate based on a qualitative assessment of its geomorphic expression","out of current evaluation project because of its low activity",39.4487303706,140.1709578689,39.3375112039,140.1429421454
